,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
0,E02272,numberofsubmissiondei,1,FilingDateInstant,Instant,2016-02-05,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
1,E02272,netsalessummaryofbusinessresults,550015000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
2,E02272,netsalessummaryofbusinessresults,592541000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
3,E02272,netsalessummaryofbusinessresults,764671000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
4,E02272,ordinaryincomelosssummaryofbusinessresults,48203000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
5,E02272,ordinaryincomelosssummaryofbusinessresults,64715000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
6,E02272,ordinaryincomelosssummaryofbusinessresults,72782000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
7,E02272,profitlossattributabletoownersofparentsummaryofbusinessresults,31926000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
8,E02272,profitlossattributabletoownersofparentsummaryofbusinessresults,42851000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
9,E02272,comprehensiveincomesummaryofbusinessresults,86844000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
